Country,Married before Age 18,Married before Age 15,Gave birth before Age 15,Gave birth Before Age 18
Benin,32,11,6,23
Burkina Faso,52,10,2,28
Cameroon,38,13,6,30
Chad,67,30,14,51
Comoros,32,10,4,17
Congo,33,6,3,30
C̫te d'Ivoire,33,10,6,31
"Congo, the Democratic Republic of the",37,10,5,27
Ethiopia,41,16,3,22
Gabon,22,6,5,28
Gambia,30,9,4,19
Ghana,21,5,2,17
Guinea,52,21,11,40
Kenya,23,4,4,23
Liberia,36,9,6,37
Malawi,50,12,5,35
Mali,60,23,14,46
Mozambique,48,14,8,40
Namibia,7,2,1,15
Nepal,41,10,1,19
Niger,76,28,10,48
Nigeria,43,17,6,29
Senegal,33,12,6,22
Sierra Leone,39,13,10,36
Togo,22,6,3,15
Uganda,40,10,7,33
Zambia,31,6,3,31
Zimbabwe,32,4,1,22